問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
サンジの現在の懸賞金はいくらですか？,10億3200万ベリー,15億ベリー,30億ベリー,10億ベリー,1,"サンジの現在の懸賞金は10億3200万ベリーです。",4
ナミの最初の懸賞金はいくらでしたか？,1600万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"ナミの最初の懸賞金は1600万ベリーでした。",2
ナミの現在の懸賞金はいくらですか？,3億6600万ベリー,1億ベリー,5億ベリー,10億ベリー,1,"ナミの現在の懸賞金は3億6600万ベリーです。",4
ウソップの最初の懸賞金はいくらでしたか？,3000万ベリー,1600万ベリー,1億ベリー,5000万ベリー,1,"ウソップの最初の懸賞金は3000万ベリーでした。",2
ウソップの現在の懸賞金はいくらですか？,5億ベリー,1億ベリー,3億ベリー,10億ベリー,1,"ウソップの現在の懸賞金は5億ベリーです。",4
チョッパーの最初の懸賞金はいくらでしたか？,50ベリー,100ベリー,1000ベリー,5000ベリー,1,"チョッパーの最初の懸賞金は50ベリーでした。",1
チョッパーの現在の懸賞金はいくらですか？,1000ベリー,5000ベリー,1万ベリー,5万ベリー,1,"チョッパーの現在の懸賞金は1000ベリーです。",4
ロビンの最初の懸賞金はいくらでしたか？,7900万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"ロビンの最初の懸賞金は7900万ベリーでした。",3
ロビンの現在の懸賞金はいくらですか？,9億3000万ベリー,1億ベリー,5億ベリー,10億ベリー,1,"ロビンの現在の懸賞金は9億3000万ベリーです。",4
フランキーの最初の懸賞金はいくらでしたか？,4400万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"フランキーの最初の懸賞金は4400万ベリーでした。",3
フランキーの現在の懸賞金はいくらですか？,3億9400万ベリー,1億ベリー,5億ベリー,10億ベリー,1,"フランキーの現在の懸賞金は3億9400万ベリーです。",4
ブルックの最初の懸賞金はいくらでしたか？,3300万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"ブルックの最初の懸賞金は3300万ベリーでした。",3
ブルックの現在の懸賞金はいくらですか？,3億8300万ベリー,1億ベリー,5億ベリー,10億ベリー,1,"ブルックの現在の懸賞金は3億8300万ベリーです。",4
ジンベエの最初の懸賞金はいくらでしたか？,7600万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"ジンベエの最初の懸賞金は7600万ベリーでした。",3
ジンベエの現在の懸賞金はいくらですか？,11億ベリー,1億ベリー,5億ベリー,10億ベリー,1,"ジンベエの現在の懸賞金は11億ベリーです。",4
ルフィがアラバスタで「覇王色の覇気」を見せたのは誰に対してですか？,クロコダイル,エース,スモーカー,Mr.3,1,"ルフィがアラバスタで覇王色の覇気を見せたのはエースの力を借りたときです。",4
ゾロがスリラーバークで受けたダメージの量は誰が測定しましたか？,くま,モリア,チョッパー,ブルック,1,"くまがゾロにルフィのダメージを与えました。",4
サンジがホールケーキアイランドで結婚を拒否した相手は誰ですか？,シャーロット・プリン,シャーロット・スムージー,シャーロット・カタクリ,シャーロット・リンリン,1,"サンジはプリンとの結婚を拒否しました。",2
ナミが空島で雷を操る能力を一時的に手に入れたのは誰のおかげですか？,ウソップ,チョッパー,エネル,ガン・フォール,1,"ナミはウソップの助けで雷を操ることができました。",4
ウソップがドレスローザで覚醒させた能力は何ですか？,見聞色の覇気,武装色の覇気,覇王色の覇気,悪魔の実の能力,1,"ウソップはドレスローザで見聞色の覇気を覚醒させました。",4
チョッパーがランブルボールを使いすぎるとどうなりますか？,暴走する,意識を失う,体が小さくなる,体が大きくなる,1,"チョッパーはランブルボールを使いすぎると暴走します。",3
ロビンがオハラで生き残った理由は誰のおかげですか？,サウロ,ドラゴン,ルフィ,センゴク,1,"ロビンはサウロのおかげで生き残りました。",4
フランキーが自分の体を改造した理由は？,強くなるため,海賊になるため,船を守るため,トムさんの影響,1,"フランキーはトムさんの影響を受け、自分の体を改造しました。",3
ブルックがヨミヨミの実を食べたのはいつですか？,死後,生前,幽霊になってから,魂が戻ってから,1,"ブルックは生前にヨミヨミの実を食べました。",3
ジンベエがタイヨウの海賊団に入ったきっかけは何ですか？,フィッシャー・タイガーの勧誘,アーロンとの出会い,魚人島を守るため,海賊への憧れ,1,"ジンベエはフィッシャー・タイガーに感銘を受けタイヨウの海賊団に入りました。",3
ローグタウンでルフィが処刑台に上ったのは誰の仕業ですか？,バギー,スモーカー,シャンクス,ゾロ,1,"ローグタウンでルフィはバギーに処刑されそうになりました。",2
グランドラインに入って最初に上陸した島はどこですか？,リトルガーデン,ドラム王国,アラバスタ王国,ローグタウン,1,"グランドラインに入って最初にリトルガーデンに上陸しました。",3
リトルガーデンでルフィ達が遭遇した巨人族の二人の名前は何ですか？,ドリーとブロギー,オイモとカーシー,ヨルルとハイルディン,ウルージとホーキンス,1,"リトルガーデンでルフィ達はドリーとブロギーに会いました。",2
アラバスタ王国を内乱から救ったのは誰ですか？,ルフィ,クロコダイル,ビビ,コブラ,1,"ルフィがクロコダイルを倒し、アラバスタ王国を救いました。",1
スカイピアに到着するためにルフィ達が利用した乗り物は何ですか？,ノックアップストリーム,海列車,飛空艇,潜水艦,1,"スカイピアに到着するためにノックアップストリームを利用しました。",2
エニエス・ロビーでルフィが倒したCP9のロブ・ルッチの六式最大奥義は何ですか？,六王銃,指銃,嵐脚,鉄塊,1,"ルッチの六式最大奥義は六王銃です。",4
スリラーバークでルフィ達が遭遇した巨大な影の名前は何ですか？,オーズ,ゲッコー・モリア,ホグバック,アブサロム,1,"スリラーバークでルフィ達はオーズと戦いました。",2
シャボンディ諸島で天竜人を殴ったのは誰ですか？,ルフィ,ゾロ,サンジ,ロー,1,"シャボンディ諸島でルフィが天竜人を殴りました。",1
マリンフォードでの頂上戦争で、白ひげが残した最後の言葉は何ですか？,"ワンピースは実在する！",“俺の財宝はくれてやる！”,“仲間を信じろ！”,“海賊王は俺だ！”,1,"白ひげの最後の言葉は「ワンピースは実在する！」です。",2
インペルダウンのレベル5.5「ニューカマーランド」を仕切っているのは誰ですか？,エンポリオ・イワンコフ,ボン・クレー,マゼラン,ハンニャバル,1,"レベル5.5を仕切っているのはイワンコフです。",3
新世界編でルフィ達が最初に向かった島はどこですか？,魚人島,パンクハザード,ドレスローザ,ワノ国,1,"新世界編でルフィ達はまず魚人島に向かいました。",1
パンクハザードでルフィ達が遭遇した人造悪魔の実の名前は何ですか？,スマイル,悪魔の実,人工悪魔の実,ゼオン,1,"パンクハザードでシーザー・クラウンが作った人造悪魔の実はスマイルです。",2
ドレスローザでドフラミンゴが支配していた地下貿易の名称は何ですか？,SMILE工場,武器工場,麻薬工場,人造悪魔の実工場,1,"ドレスローザでドフラミンゴはSMILE工場を運営していました。",2
ホールケーキアイランドでサンジが「オールブルー」の夢を諦めかけた理由は？,家族のため,仲間を守るため,結婚のため,料理人としての誇り,1,"サンジは家族のために夢を諦めかけました。",2
ワノ国でルフィ達がカイドウを倒すために集まった場所はどこですか？,鬼ヶ島,花の都,えびす町,おこぼれ町,1,"ワノ国でルフィ達は鬼ヶ島に集まりました。",2
ワノ国での戦いでルフィが覚醒した悪魔の実の能力「ギア5」が発動した際の名前は何ですか？,ニカ,ジョイボーイ,ルフィ,太陽の神,1,"ギア5発動時のルフィは「ニカ」の姿になります。",4
ワンピースの世界に存在する古代兵器は何種類ですか？,3種類,2種類,4種類,5種類,1,"古代兵器はプルトン、ポセイドン、ウラヌスの3種類です。",2
古代兵器「プルトン」の正体は何ですか？,戦艦,人魚,巨人,海王類,1,"プルトンは巨大な戦艦です。",3
古代兵器「ポセイドン」の正体は何ですか？,人魚,戦艦,巨人,海王類,1,"ポセイドンは人魚姫しらほしです。",3
古代兵器「ウラヌス」の正体は何ですか？,不明,戦艦,人魚,巨人,1,"ウラヌスの正体は不明です。",5
世界政府の直属の最高諜報機関は何ですか？,CP0,CP9,CP7,CP5,1,"CP0は世界政府の最高諜報機関です。",4
イム様がいる場所はどこですか？,パンゲア城,聖地マリージョア,グランドライン,新世界,1,"イム様はパンゲア城にいます。",5
天竜人の最高位の称号は何ですか？,聖,天龍,神,王,1,"天竜人の最高位は「聖」です。",4
ドンキホーテ・ドフラミンゴが元々所属していたのはどこですか？,天竜人,七武海,四皇,海軍,1,"ドフラミンゴは元天竜人です。",3
ジェルマ66の国王は誰ですか？,ヴィンスモーク・ジャッジ,サンジ,レイジュ,ヨンジ,1,"ジェルマ66の国王はヴィンスモーク・ジャッジです。",3
ジェルマ66の兵器の名称は何ですか？,レイドスーツ,パワードスーツ,バトルスーツ,戦闘服,1,"ジェルマ66の兵器はレイドスーツです。",3
ホールケーキアイランドでサンジが生まれて初めて女性を殴ったのは誰ですか？,シャーロット・プリン,シャーロット・リンリン,シャーロット・スムージー,シャーロット・カタクリ,1,"サンジはプリンに殴られました。",4
ワノ国でルフィがカイドウを倒した際に使用した技は何ですか？,ゴムゴムの猿王銃,ゴムゴムの象銃,ゴムゴムの大猿王銃,ゴムゴムの巨人,1,"ルフィはゴムゴムの猿王銃でカイドウを倒しました。",4
魚人島の「しらほし姫」が持つ古代兵器の能力は何ですか？,ポセイドン,プルトン,ウラヌス,海王類を操る能力,1,"しらほし姫は古代兵器ポセイドンです。",3
世界政府の加盟国で唯一歴史の本文（ポーネグリフ）を研究していた学者の島はどこですか？,オハラ,エッグヘッド,ウォーターセブン,フーシャ村,1,"オハラはポーネグリフの研究を行っていました。",2
ロビンの故郷であるオハラの研究者たちが殺された理由は？,空白の100年を研究していたから,世界政府に反抗したから,悪魔の実を悪用したから,海賊と結託したから,1,"オハラの研究者たちは空白の100年を研究していたため殺されました。",3
グランドライン前半の海を指す言葉は何ですか？,楽園,新世界,偉大なる航路,東の海,1,"グランドライン前半は「楽園」と呼ばれています。",2
グランドライン後半の海を指す言葉は何ですか？,新世界,楽園,偉大なる航路,東の海,1,"グランドライン後半は「新世界」と呼ばれています。",2
ログポースが指す方向は？,次の島,グランドラインの終点,海賊王の財宝,ラフテル,1,"ログポースは次の島を指します。",1
ログポースが効かない場所はどこですか？,新世界,グランドライン,東の海,北の海,1,"新世界ではログポースが効かない場合があります。",3
永久指針（エターナルポース）が指す方向は？,特定の島,次の島,グランドラインの終点,ラフテル,1,"エターナルポースは特定の島を指します。",2
海軍の最高位である元帥の名前は何ですか？,サカズキ,センゴク,クザン,ボルサリーノ,1,"現在の海軍元帥はサカズキです。",3
世界政府の頂点に立つ存在は誰ですか？,イム様,五老星,天竜人,世界貴族,1,"世界政府の頂点に立つ存在はイム様とされています。",5
天竜人がかぶっている泡のドームの名前は何ですか？,シャボンディ,バブル,エア,クリア,1,"天竜人はシャボンディのドームをかぶっています。",3
天竜人のことを「創造主の子孫」と呼ぶのは誰ですか？,世界政府,海軍,一般市民,海賊,1,"天竜人は自らを「創造主の子孫」と称しています。",4
麦わらの一味が初めて集まった島はどこですか？,フーシャ村,ローグタウン,シェルズタウン,バラティエ,1,"ルフィの故郷はフーシャ村です。",2
ゾロがルフィの仲間になる前に捕らえられていた場所はどこですか？,シェルズタウン,フーシャ村,ローグタウン,バラティエ,1,"ゾロはシェルズタウンで捕らえられていました。",2
ナミがアーロンパークでアーロンに騙されていた理由は？,村を救うため,金のため,自由のため,家族のため,1,"ナミは村を救うためアーロンに協力していました。",2
ウソップがシロップ村で嘘をついていた理由は？,村を守るため,仲間を作るため,冒険に出るため,注目されたいから,1,"ウソップは村を守るため、嘘をついていました。",2
サンジが海上レストラン「バラティエ」を離れた理由は？,ルフィに誘われたから,ゼフの命令,新しい料理の追求,自由を求めて,1,"サンジはルフィに誘われ、バラティエを離れました。",2
チョッパーが船医になった理由は？,ルフィに認められたから,Dr.ヒルルクの遺志を継ぐため,Dr.くれはの命令,病気を治すため,1,"チョッパーはDr.ヒルルクの遺志を継ぐため、医者になりました。",2
ロビンが麦わらの一味に加入した理由は？,生きるため,ポーネグリフを解読するため,世界政府から逃れるため,ルフィに助けられたから,1,"ロビンはルフィに助けられ、生きることを選びました。",2
フランキーが麦わらの一味に加入した理由は？,サウザンドサニー号を建造したから,ルフィに認められたから,トムさんの遺志を継ぐため,自由を求めて,1,"フランキーはサウザンドサニー号を建造し、仲間になりました。",2
ブルックが麦わらの一味に加入した理由は？,ルフィに誘われたから,ラブーンとの約束を果たすため,ヨミヨミの実の能力を試すため,自由を求めて,1,"ブルックはラブーンとの約束を果たすため、麦わらの一味に加入しました。",2
ジンベエが麦わらの一味に加入した理由は？,ルフィに恩義があるから,魚人島を守るため,仲間を求めて,自由を求めて,1,"ジンベエはルフィに恩義があり、麦わらの一味に加入しました。",2
ルフィの最初の懸賞金を発令したのは誰ですか？,海軍本部,世界政府,七武海,四皇,1,"ルフィの最初の懸賞金は海軍本部が発令しました。",2
グランドラインに入った麦わらの一味が最初に遭遇した大物は誰ですか？,クロコダイル,エネル,ジンベエ,バロックワークス,1,"グランドラインに入ったばかりのルフィ達はバロックワークスに遭遇しました。",3
アラバスタ王国で内乱を煽っていたのは誰ですか？,クロコダイル,ミス・オールサンデー,Mr.2,Mr.3,1,"クロコダイルが内乱を煽っていました。",1
スカイピアでエネルが目指していた場所はどこですか？,無限のフロンティア,グランドライン,新世界,偉大なる航路,1,"エネルは無限のフロンティアを目指していました。",4
エニエス・ロビーでルフィ達が戦った相手は誰ですか？,CP9,CP0,海軍本部,世界政府,1,"エニエス・ロビーでルフィ達はCP9と戦いました。",1
スリラーバークでモリアが奪っていたものは何ですか？,影,魂,生命力,悪魔の実の能力,1,"モリアは影を奪っていました。",1
シャボンディ諸島でルフィ達を圧倒した海軍大将は誰ですか？,黄猿,青雉,赤犬,藤虎,1,"シャボンディ諸島で黄猿がルフィ達を圧倒しました。",2
マリンフォードでルフィがエースを救出するのに協力したのは誰ですか？,インペルダウンの囚人たち,七武海,四皇,革命軍,1,"ルフィはインペルダウンの囚人たちと協力しました。",2
インペルダウンの監獄署長は誰ですか？,マゼラン,ハンニャバル,サディちゃん,ドミノ,1,"インペルダウンの監獄署長はマゼランです。",2
新世界編でルフィ達が協力した海賊団の名前は何ですか？,ハートの海賊団,キッド海賊団,赤髪海賊団,黒ひげ海賊団,1,"新世界編でルフィ達はハートの海賊団と協力しました。",1
パンクハザードでルフィ達が遭遇した巨人族の子供たちは何に利用されていましたか？,人体実験,兵器開発,悪魔の実の製造,能力者の強化,1,"巨人族の子供たちは人体実験の被験者でした。",2
ドレスローザでドフラミンゴが製造していた人造悪魔の実の名称は何ですか？,SMILE,悪魔の実,人工悪魔の実,ゼオン,1,"ドフラミンゴはSMILEを製造していました。",1
ホールケーキアイランドでサンジが家族から逃げ出した理由は？,自由を求めて,仲間を守るため,夢を追いかけるため,結婚を拒否するため,1,"サンジは家族から逃げ出しました。",2
ワノ国でルフィ達がカイドウを倒した後に誕生した新たな四皇は誰ですか？,ルフィ,バギー,ロー,キッド,1,"ワノ国後、ルフィとバギーが新たな四皇になりました。",4
ワンピースの主人公モンキー・D・ルフィの異名は何ですか？,麦わらのルフィ,ゴムゴムのルフィ,海賊王,自由の戦士,1,"ルフィは「麦わらのルフィ」と呼ばれています。",1
ゾロの師匠であるミホークの異名は何ですか？,鷹の目,世界最強の剣士,黒刀のミホーク,海賊狩り,1,"ミホークは「鷹の目のミホーク」と呼ばれています。",1
サンジが料理人になったきっかけは何ですか？,ゼフとの出会い,オールブルーの夢,海賊になるため,世界一の料理人を目指して,1,"サンジはゼフとの出会いをきっかけに料理人になりました。",2
ナミが航海士になったきっかけは何ですか？,世界地図を描くため,お金を稼ぐため,アーロンパーク事件,冒険に出るため,1,"ナミは世界地図を描くため航海士になりました。",2
ウソップが狙撃手になったきっかけは何ですか？,父ヤソップの影響,狙撃の才能,勇敢な海の戦士を目指して,仲間を守るため,1,"ウソップは父ヤソップの影響で狙撃手になりました。",2
チョッパーが船医になったきっかけは何ですか？,Dr.ヒルルクの遺志を継ぐため,Dr.くれはの指導,病気を治すため,仲間を守るため,1,"チョッパーはDr.ヒルルクの遺志を継ぐため船医になりました。",2
ロビンが考古学者になったきっかけは何ですか？,オハラの悲劇,ポーネグリフの解読,世界政府への反抗,知識欲,1,"ロビンはオハラの悲劇から考古学者になりました。",2
フランキーが船大工になったきっかけは何ですか？,トムさんとの出会い,サウザンドサニー号の建造,海賊への憧れ,自身の改造,1,"フランキーはトムさんとの出会いをきっかけに船大工になりました。",2
ブルックが音楽家になったきっかけは何ですか？,ルンバー海賊団の音楽家,ヨミヨミの実の能力,ラブーンとの約束,魂の歌,1,"ブルックはルンバー海賊団の音楽家でした。",2
ジンベエが操舵手になったきっかけは何ですか？,魚人としての能力,タイヨウの海賊団での経験,ルフィへの恩義,自由を求めて,1,"ジンベエは魚人としての操舵能力に長けています。",2
麦わらの一味の船大工フランキーの本名は何ですか？,カティ・フラム,カティ・フラム,アイスバーグ,トム,1,"フランキーの本名はカティ・フラムです。",3
麦わらの一味の音楽家ブルックの異名は何ですか？,ソウルキング,鼻唄,骸骨,アフロ,1,"ブルックは「ソウルキング」という異名を持っています。",1
世界政府に所属する海軍の最高権力である「元帥」の名前は何ですか？,サカズキ,センゴク,クザン,ボルサリーノ,1,"現在の海軍元帥はサカズキです。",3
世界の均衡を保つ三大勢力の一つ、「王下七武海」は現在どうなっていますか？,撤廃された,増員された,減員された,名前が変わった,1,"王下七武海は撤廃されました。",4
天竜人の最高位である「聖」の称号を持つ人物は誰ですか？,不明,イム様,五老星,世界貴族,1,"イム様は天竜人の最高位である「聖」の称号を持つとされています。",5
海賊王ゴール・D・ロジャーの海賊団の名前は何ですか？,ロジャー海賊団,海賊王海賊団,ゴールド海賊団,伝説の海賊団,1,"ロジャーの海賊団は「ロジャー海賊団」です。",2
ロジャー海賊団の副船長の異名は何ですか？,冥王,海賊王の右腕,伝説の男,自由の王,1,"ロジャー海賊団の副船長は「冥王」レイリーです。",3
ロジャー海賊団の船医は誰ですか？,クロッカス,Dr.ヒルルク,Dr.くれは,ベガパンク,1,"ロジャー海賊団の船医はクロッカスです。",3
ロジャー海賊団の航海士は誰ですか？,スコッパー・ギャバン,レイリー,クロッカス,不明,1,"ロジャー海賊団の航海士はスコッパー・ギャバンです。",4
ロジャー海賊団の音楽家は誰ですか？,不明,ブルック,ジンベエ,チョッパー,1,"ロジャー海賊団の音楽家は不明です。",5
白ひげの船モビーディック号の船首像は何ですか？,クジラ,サメ,イルカ,ワニ,1,"モビーディック号の船首像はクジラです。",2
赤髪海賊団のシャンクスがルフィに預けたものは何ですか？,麦わら帽子,悪魔の実,財宝,船,1,"シャンクスはルフィに麦わら帽子を預けました。",1
黒ひげが奪った悪魔の実の能力は何ですか？,グラグラの実,メラメラの実,ヤミヤミの実,ピカピカの実,1,"黒ひげはグラグラの実の能力を奪いました。",3
海軍の英雄と呼ばれているのは誰ですか？,モンキー・D・ガープ,センゴク,サカズキ,クザン,1,"ガープは「海軍の英雄」と呼ばれています。",2
海軍の「仏のセンゴク」と呼ばれているのは誰ですか？,センゴク,ガープ,サカズキ,クザン,1,"センゴクは「仏のセンゴク」と呼ばれています。",2
革命軍の拠点はどこですか？,カマバッカ王国,ドラム王国,ドレスローザ,ワノ国,1,"革命軍の拠点はカマバッカ王国です。",3
魚人島で起こった事件の首謀者は誰ですか？,ホーディ・ジョーンズ,アーロン,ゼオ,ダルマ,1,"ホーディ・ジョーンズが魚人島事件の首謀者です。",2
ドレスローザでドフラミンゴが狙っていたものは何ですか？,SMILE工場,古代兵器,悪魔の実,ラフテル,1,"ドフラミンゴはSMILE工場を狙っていました。",3
ホールケーキアイランドでサンジが家族と訣別する際に言った言葉は何ですか？,"お世話になりました",“おれは死んでもお前たちの言いなりにはならねェ!!!”,“さようなら”,“ありがとう”,2,"サンジは家族と訣別する際に「おれは死んでもお前たちの言いなりにはならねェ!!!」と言いました。",3
ワノ国でルフィ達が戦った相手は誰ですか？,カイドウとビッグ・マム,カイドウと黒ひげ,カイドウとシャンクス,カイドウと五老星,1,"ワノ国でルフィ達はカイドウとビッグ・マムと戦いました。",3
ワノ国での戦いでゾロが鬼ヶ島でカイドウとビッグ・マムに放った技は何ですか？,阿修羅 抜剣 亡者戯,三千世界,鬼斬り,煩悩鳳,1,"ゾロは阿修羅 抜剣 亡者戯でカイドウとビッグ・マムに攻撃しました。",4
ワノ国での戦いでサンジがクイーンに放った技は何ですか？,悪魔風脚 地獄の思い出,悪魔風脚 画竜点睛,悪魔風脚 焼鉄星,悪魔風脚 大打撃,1,"サンジは悪魔風脚 地獄の思い出でクイーンに攻撃しました。",4
ワノ国での戦いでロビンがブラックマリアに放った技は何ですか？,千紫万紅・巨大樹,百花繚乱・大樹,万花繚乱・巨木,十花繚乱・小木,1,"ロビンは千紫万紅・巨大樹でブラックマリアに攻撃しました。",4
ワノ国での戦いでフランキーがササキに放った技は何ですか？,フランキー将軍,風来砲,フランキーラディカルビーム,スーパーフランク,1,"フランキーはフランキー将軍でササキに攻撃しました。",4
ワノ国での戦いでブルックがブラックマリアに放った技は何ですか？,鼻唄三丁・矢筈斬り,魂の叫び,ソウルソリッド,氷の世界,1,"ブルックは鼻唄三丁・矢筈斬りでブラックマリアに攻撃しました。",4
ワノ国での戦いでジンベエがフーズ・フーに放った技は何ですか？,魚人空手・瓦正拳,海流一本背負い,槍波,梅花皮,1,"ジンベエは魚人空手・瓦正拳でフーズ・フーに攻撃しました。",4
ルフィが最初に仲間になったのは誰ですか？,ゾロ,ナミ,ウソップ,サンジ,1,"ルフィの最初の仲間はゾロです。",1
ゾロが麦わらの一味に加入した時の職業は何でしたか？,海賊狩り,剣士,賞金稼ぎ,漁師,1,"ゾロは「海賊狩り」の賞金稼ぎでした。",1
ナミが麦わらの一味に加入した時の職業は何でしたか？,泥棒猫,航海士,測量士,天気予報士,1,"ナミは「泥棒猫」の異名を持つ泥棒でした。",1
ウソップが麦わらの一味に加入した時の職業は何でしたか？,狙撃手,嘘つき,発明家,船大工,1,"ウソップは「嘘つきウソップ」でした。",1
サンジが麦わらの一味に加入した時の職業は何でしたか？,海上レストランのコック,海賊,賞金稼ぎ,料理研究家,1,"サンジは海上レストラン「バラティエ」のコックでした。",1
チョッパーが麦わらの一味に加入した時の職業は何でしたか？,船医,医者,動物,トナカイ,1,"チョッパーはドラム王国の医者でした。",1
ロビンが麦わらの一味に加入した時の職業は何でしたか？,考古学者,殺し屋,バロックワークスの副社長,スパイ,1,"ロビンはバロックワークスの副社長でした。",1
フランキーが麦わらの一味に加入した時の職業は何でしたか？,船大工,解体屋,サイボーグ,賞金稼ぎ,1,"フランキーはウォーターセブンの解体屋でした。",1
ブルックが麦わらの一味に加入した時の職業は何でしたか？,音楽家,剣士,ガイコツ,幽霊,1,"ブルックは音楽家でした。",1
ジンベエが麦わらの一味に加入した時の職業は何でしたか？,魚人族の元七武海,タイヨウの海賊団船長,魚人空手師範,海の侠客,1,"ジンベエは元七武海でした。",1
麦わらの一味の誕生日はいつですか？,不明,ルフィの誕生日,船の進水日,仲間になった日,1,"麦わらの一味全体としての誕生日は設定されていません。",5
ルフィの誕生日はいつですか？,5月5日,3月2日,2月9日,4月8日,1,"ルフィの誕生日は5月5日です。",1
ゾロの誕生日はいつですか？,11月11日,3月2日,2月9日,4月8日,1,"ゾロの誕生日は11月11日です。",1
ナミの誕生日はいつですか？,7月3日,3月2日,2月9日,4月8日,1,"ナミの誕生日は7月3日です。",1
ウソップの誕生日はいつですか？,4月1日,3月2日,2月9日,4月8日,1,"ウソップの誕生日は4月1日です。",1
サンジの誕生日はいつですか？,3月2日,5月5日,2月9日,4月8日,1,"サンジの誕生日は3月2日です。",1
チョッパーの誕生日はいつですか？,12月24日,3月2日,2月9日,4月8日,1,"チョッパーの誕生日は12月24日です。",1
ロビンの誕生日はいつですか？,2月6日,3月2日,2月9日,4月8日,1,"ロビンの誕生日は2月6日です。",1
フランキーの誕生日はいつですか？,3月9日,3月2日,2月9日,4月8日,1,"フランキーの誕生日は3月9日です。",1
ブルックの誕生日はいつですか？,4月3日,3月2日,2月9日,4月8日,1,"ブルックの誕生日は4月3日です。",1
ジンベエの誕生日はいつですか？,4月2日,3月2日,2月9日,4月8日,1,"ジンベエの誕生日は4月2日です。",1
ルフィの年齢は何歳ですか？（2年後）,19歳,17歳,18歳,20歳,1,"ルフィは2年後19歳です。",2
ゾロの年齢は何歳ですか？（2年後）,21歳,19歳,20歳,22歳,1,"ゾロは2年後21歳です。",2
ナミの年齢は何歳ですか？（2年後）,20歳,18歳,19歳,21歳,1,"ナミは2年後20歳です。",2
ウソップの年齢は何歳ですか？（2年後）,19歳,17歳,18歳,20歳,1,"ウソップは2年後19歳です。",2
サンジの年齢は何歳ですか？（2年後）,21歳,19歳,20歳,22歳,1,"サンジは2年後21歳です。",2
チョッパーの年齢は何歳ですか？（2年後）,17歳,15歳,16歳,18歳,1,"チョッパーは2年後17歳です。",2
ロビンの年齢は何歳ですか？（2年後）,30歳,28歳,29歳,31歳,1,"ロビンは2年後30歳です。",2
フランキーの年齢は何歳ですか？（2年後）,36歳,34歳,35歳,37歳,1,"フランキーは2年後36歳です。",2
ブルックの年齢は何歳ですか？（2年後）,90歳,88歳,89歳,91歳,1,"ブルックは2年後90歳です。",2
ジンベエの年齢は何歳ですか？（2年後）,46歳,44歳,45歳,47歳,1,"ジンベエは2年後46歳です。",2
ルフィの出身地はどこですか？,フーシャ村,シェルズタウン,ローグタウン,バラティエ,1,"ルフィの出身地はフーシャ村です。",1
ゾロの出身地はどこですか？,シモツキ村,フーシャ村,ローグタウン,バラティエ,1,"ゾロの出身地はシモツキ村です。",1
ナミの出身地はどこですか？,ココヤシ村,フーシャ村,ローグタウン,バラティエ,1,"ナミの出身地はココヤシ村です。",1
ウソップの出身地はどこですか？,シロップ村,フーシャ村,ローグタウン,バラティエ,1,"ウソップの出身地はシロップ村です。",1
サンジの出身地はどこですか？,ノースブルー,イーストブルー,サウスブルー,ウェストブルー,1,"サンジはノースブルー出身です。",2
チョッパーの出身地はどこですか？,ドラム王国,フーシャ村,ローグタウン,バラティエ,1,"チョッパーの出身地はドラム王国です。",2
ロビンの出身地はどこですか？,オハラ,フーシャ村,ローグタウン,バラティエ,1,"ロビンの出身地はオハラです。",2
フランキーの出身地はどこですか？,ウォーターセブン,フーシャ村,ローグタウン,バラティエ,1,"フランキーはウォーターセブン出身です。",2
ブルックの出身地はどこですか？,西の海,東の海,北の海,南の海,1,"ブルックは西の海出身です。",2
ジンベエの出身地はどこですか？,魚人島,フーシャ村,ローグタウン,バラティエ,1,"ジンベエの出身地は魚人島です。",2
ルフィの夢「海賊王」を最初に聞いた人物は誰ですか？,シャンクス,ゾロ,ガープ,エース,1,"ルフィの夢を最初に聞いたのはシャンクスです。",2
ゾロが世界一の大剣豪を目指すきっかけとなったのは誰との約束ですか？,くいな,ミホーク,耕四郎,リューマ,1,"ゾロはくいなとの約束を果たすため、世界一の大剣豪を目指しています。",2
サンジがオールブルーを見つけることを夢見るきっかけとなったのは誰の言葉ですか？,ゼフ,ルフィ,オールブルーの伝説,家族の教え,1,"サンジはゼフの影響でオールブルーの夢を抱きました。",2
ナミが世界地図を描くことを目標とするきっかけとなったのは誰の助言ですか？,ベルメール,ノジコ,ゲンさん,Dr.ナミ,1,"ナミはベルメールの言葉がきっかけでした。",3
ウソップが勇敢な海の戦士を目指すきっかけとなったのは誰との約束ですか？,カヤ,ヤソップ,ルフィ,シロップ村の住民,1,"ウソップはカヤとの約束を果たすため、勇敢な海の戦士を目指しています。",2
チョッパーが「万能薬」になることを夢見るきっかけとなったのは誰の言葉ですか？,Dr.ヒルルク,Dr.くれは,ルフィ,ロビン,1,"チョッパーはDr.ヒルルクの遺志を継ぎ「万能薬」になることを目指しています。",2
